date,read_bytes,write_bytes
2016-04-13,140494263851155.0,223510036115739.0
2016-04-14,223650061359178.0,297735148674946.0
2016-04-15,273868353802995.0,216673938652303.0
2016-04-16,91977663303449.6,111346279293491.0
2016-04-17,124954903149380.0,199986645328797.0
2016-04-18,1.10866492293271e+15,432858153487606.0
2016-04-19,1.6331164700398e+15,249692776926309.0
2016-04-20,625769731114574.0,258133842544107.0
2016-04-21,299337562440590.0,271303135466135.0
2016-04-22,699470378174624.0,306704250724800.0
2016-04-23,649337628875470.0,173613966179434.0
2016-04-24,8773351832162.62,7538086821084.4
2016-04-25,263133693616758.0,206231057117230.0
2016-04-26,897831131890239.0,239308193465943.0
2016-04-27,856254952084287.0,268469527456681.0
2016-04-28,260749352855791.0,195851795849786.0
2016-04-29,492072571283960.0,189625736039441.0
2016-04-30,729996986785344.0,239435262961189.0
2016-05-01,247951165712763.0,201938007372512.0
2016-05-02,197266124129119.0,175181902090091.0
2016-05-03,1.84699620387841e+15,285584319443685.0
2016-05-04,235020945169821.0,66941334516402.2
2016-05-05,234329582133925.0,158762956213097.0
2016-05-06,562801885923004.0,142919505816648.0
2016-05-07,408013022236396.0,135986746933099.0
2016-05-08,113226368853414.0,134959875681126.0
2016-05-09,114488189807809.0,189840673758906.0
2016-05-10,272713718466646.0,227993246085594.0
2016-05-11,228648891806880.0,311434239930245.0
2016-05-12,324669961140978.0,277945567521341.0
2016-05-13,271927784304897.0,197012279271975.0
2016-05-14,426396571105062.0,401797355548061.0
2016-05-15,607403947311381.0,281388351165567.0
2016-05-16,473050845624714.0,157339733647945.0
2016-05-17,380151676085133.0,172713293057296.0
2016-05-18,139145812234366.0,181392036897944.0
2016-05-19,2.24723002223378e+15,383089051383413.0
2016-05-20,189058969659701.0,263563918093837.0
2016-05-21,351744068947235.0,229687523447050.0
2016-05-22,175807446467030.0,210271391686966.0
2016-05-23,310203216134876.0,275654196879787.0
2016-05-24,110528331686673.0,425061574842687.0
2016-05-25,1.42624855906952e+15,252728154431608.0
2016-05-26,303667533401866.0,54754099093341.3
2016-05-27,101141151825069.0,118707377917959.0
2016-05-28,858410596546061.0,217646688409562.0
2016-05-29,101668745662887.0,266876546215903.0
2016-05-30,148929917088227.0,207079733473240.0
2016-05-31,163763721037023.0,182543827457952.0
2016-06-01,192011219505961.0,358686944323944.0
2016-06-02,35760179576342.9,66809898700071.3
2016-06-06,108131157775730.0,193500113511106.0
2016-06-07,207348874339318.0,446801703852611.0
2016-06-08,164334211002531.0,234120778656749.0
2016-06-09,333988991547875.0,270482703565148.0
2016-06-10,432359844646147.0,270591582533060.0
2016-06-11,51645608557376.2,5811465680468.99
2016-06-12,2324012377296.81,1298647790579.22
2016-06-13,1545899038428.01,643327364072.003
2016-07-04,160034411435782.0,502738536699093.0
2016-07-05,12862730240.0,53806232908.0
2016-07-06,173673803585641.0,70616079055827.1
2016-07-07,15576189675196.4,35156479814688.3
2016-07-08,44601636210491.7,50705067227179.3
2016-07-09,137620606876605.0,133374664951809.0
2016-07-10,37034098248689.2,58202847385164.8
2016-07-11,59285824504854.8,48720734771593.5
2016-07-12,82126286802595.8,108911123568647.0
2016-07-13,13210426674465.1,42152121141477.6
2016-07-14,43747744722416.9,79187393620721.8
2016-07-15,280935774558.833,4339253556426.96
2016-07-16,58555910814121.7,111852262373435.0
2016-07-17,51090609970317.5,117860145992425.0
2016-07-18,174427816820273.0,108681834034976.0
2016-07-19,81903433013740.1,79924822110562.2
2016-07-20,63290380990705.2,95203235448752.6
2016-07-21,166922663739158.0,193910464666960.0
2016-07-22,158537784733251.0,145632789318204.0
2016-07-23,39120645375739.6,92926146941231.6
2016-07-24,116006614107045.0,85574497667721.5
2016-07-25,135110157714699.0,173450645875101.0
2016-07-26,146268080046215.0,168739867316665.0
2016-07-27,60996697600838.2,110790289005321.0
